DATAFLOW,LAST UPDATE,freq,s_adj,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2023-12,4.6,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2024-01,4.7,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2024-02,4.7,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2024-03,4.7,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2024-04,4.6,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2024-05,4.6,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2024-06,4.5,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2024-07,4.5,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2024-08,4.6,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2024-09,4.6,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2024-10,4.7,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2024-11,4.8,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2024-12,4.9,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2025-01,5.0,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2025-02,5.1,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2025-03,5.1,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2025-04,5.2,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2025-05,5.2,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2025-06,5.1,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2025-07,5.0,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2025-08,4.9,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2025-09,5.0,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2025-10,5.2,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2025-11,5.2,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2025-12,5.3,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Belgium,2026-01,5.3,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2021-12,4.1,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022-01,4.1,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022-02,4.1,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022-03,4.1,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022-04,4.1,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022-05,4.2,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022-06,4.0,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022-07,3.8,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022-08,3.7,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022-09,3.6,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022-10,3.6,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022-11,3.6,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022-12,3.8,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2023-01,3.7,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2023-02,3.8,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2023-03,3.9,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2023-04,4.1,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2023-05,4.2,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2023-06,4.2,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2023-07,4.1,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2023-08,4.0,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2023-09,4.0,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2023-10,4.0,,
ESTAT:UNE_RT_M(1.0),04/03/26 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",From 25 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2023-11,4.0,,
